Deg_Kart_No;Yas;Kart_Grubu;Etkinlik_Adi;Satıs_Dönemi;Bilet_Adedi;Birim_Bilet_Fiyati;Toplam_Bilet_Fiyati;Indirimli_Birim_Fiyat;Indirim_Kaybi;Net_Satis_Geliri;Odeme_Tipi;Satis_Kanalı
1000001764;45;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000000999;43;BB;A;On Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000033555;53;BB;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000033379;70;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000030837;51;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000029178;46;BB;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000022285;50;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000004385;55;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000003899;47;BB;F;On Satis;2;37.5;75;37.5;0;75;Kart;Organizatr
1000032466;55;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000032415;44;BB;A;On Satis;1;675;675;506.25;168.75;506.25;Kart;Organizatr
1000032370;84;BB;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000031607;50;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000031221;88;BB;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000031045;54;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000029963;55;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000000132;61;BB;A;On Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000024753;49;BB;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000035163;52;BB;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000022288;54;BB;D;Genel Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000022235;44;BB;D;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000019171;63;BB;D;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000019053;41;BB;D;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000017573;63;BB;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000017151;71;BB;A;Genel Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000016961;98;BB;A;Genel Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000016729;69;BB;F;Genel Satis;-2;-93.75;-187.5;-75;-37.5;-150;Kart;Organizatr
1000016712;38;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Organizatr
1000016355;52;BB;F;Genel Satis;-2;-37.5;-75;-37.5;0;-75;Kart;Organizatr
1000015313;67;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000015179;70;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000014622;58;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000013827;58;BB;G;Genel Satis;2;506.25;1012.5;379.6875;253.125;759.375;Kart;Ana Gişe  
1000013793;39;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000012144;44;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000027003;44;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000026967;64;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000025479;67;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000025235;52;BB;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Organizatr
1000025152;44;BB;B;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Ana Gişe  
1000025124;38;BB;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Organizatr
1000025034;50;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000024534;59;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000024462;61;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000024266;51;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000023950;35;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000023946;56;BB;F;Genel Satis;-2;-93.75;-187.5;-75;-37.5;-150;Kart;Organizatr
1000023904;52;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Organizatr
1000023632;33;BB;F;Genel Satis;-2;-37.5;-75;-37.5;0;-75;Kart;Organizatr
1000023457;50;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000023271;43;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000022967;42;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000022645;28;BB;G;Genel Satis;2;506.25;1012.5;379.6875;253.125;759.375;Kart;Ana Gişe  
1000022581;38;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000022224;37;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000021728;32;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000021602;37;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000021563;39;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000021558;47;BB;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Organizatr
1000021518;85;BB;B;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Ana Gişe  
1000020743;34;BB;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Organizatr
1000020250;64;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000020014;61;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000019892;36;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000019493;36;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000019383;47;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Organizatr
1000019007;42;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000018376;61;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000018336;30;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000017852;60;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000017497;36;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000017421;57;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Ana Gişe
1000017395;56;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000017046;53;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000016749;38;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000016450;32;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000015328;64;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000015260;50;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Ana Gişe
1000014650;32;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000014303;44;BB;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000014169;46;BB;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Nakit;Organizatr
1000034908;32;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000000110;50;BB;D;On Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000013879;60;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000013773;31;BB;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000013657;29;BB;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000013640;71;BB;F;Genel Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000013320;50;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000013298;80;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000012997;42;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000012799;38;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000012790;42;BB;F;Genel Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000012554;35;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000012433;29;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000012405;59;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000011853;28;BB;F;Genel Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000011192;26;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Çağrı Merk
1000011027;42;BB;F;Genel Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000010870;40;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000010828;50;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000010458;73;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000010403;74;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000010136;30;BB;F;Genel Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000034805;61;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000009868;64;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000009769;34;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000009400;60;BB;F;Genel Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000009177;28;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000009107;27;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Çağrı Merk
1000008894;61;BB;C;On Satis;2;375;750;281.25;187.5;562.5;Kart;Organizatr
1000007953;34;BB;B;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000007893;33;BB;B;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000007746;63;BB;C;On Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000007484;50;BB;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000007483;37;BB;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000007188;42;BB;B;Genel Satis;-2;-562.5;-1125;-421.875;-281.25;-843.75;Kart;Organizatr
1000007162;51;BB;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000007106;43;BB;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000034724;61;BB;C;On Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000006949;29;BB;D;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000006719;27;BB;C;On Satis;2;375;750;281.25;187.5;562.5;Kart;Organizatr
1000006030;48;BB;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000005781;55;BB;B;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000005683;56;BB;B;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000005575;40;BB;C;On Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000005411;34;BB;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000005204;59;BB;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000004828;29;BB;B;Genel Satis;-2;-562.5;-1125;-421.875;-281.25;-843.75;Kart;Organizatr
1000004820;40;BB;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000004429;27;BB;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000004345;42;BB;C;On Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000004045;46;BB;D;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000004000;45;BB;D;On Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000003559;33;BB;D;On Satis;2;281.25;562.5;211.875;138.75;423.75;Kart;Organizatr
1000003486;22;BB;D;On Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000003450;35;BB;A;On Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000003260;38;BB;A;On Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000003005;33;BB;A;On Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000002947;62;BB;A;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000002823;42;BB;A;On Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000002767;31;BB;A;On Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000002447;45;BB;A;On Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000000112;41;BB;A;On Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000002017;41;BB;A;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000001981;33;BB;A;On Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000001807;29;BB;B;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Perakende
1000001734;38;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000001620;63;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000001545;27;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000001519;25;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000001351;54;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000001188;40;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000000831;66;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Internet
1000000606;31;BB;E;On Satis;1;45;45;45;0;45;Kart;Perakende
1000000495;30;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000000440;27;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000034532;42;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000000261;32;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000000219;55;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000034471;26;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000034362;26;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000034087;37;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000034030;46;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000033939;44;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000033925;31;BB;E;On Satis;2;45;90;45;0;90;Kart;Perakende
1000033916;28;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000033897;64;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Internet
1000033852;34;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000033777;56;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000033752;27;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Internet
1000032811;43;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000032724;52;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Internet
1000032676;40;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Internet
1000034695;41;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000031332;30;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000031091;28;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000031080;28;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000030910;36;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000030903;46;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030831;25;BB;E;On Satis;1;45;45;45;0;45;Kart;Perakende
1000030799;33;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030759;63;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030648;45;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030544;35;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030514;39;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030488;39;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030468;50;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030427;33;BB;E;On Satis;1;112.5;112.5;67.5;45;67.5;Kart;Perakende
1000030321;26;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030317;28;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030249;43;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030219;38;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Internet
1000030171;41;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000030161;32;BB;E;On Satis;1;45;45;45;0;45;Kart;Perakende
1000034610;41;BB;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Ana Gişe
1000029922;37;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000029918;31;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000029852;32;BB;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000029597;31;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000029590;33;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000029319;28;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Internet
1000029250;25;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000029246;37;BB;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Perakende
1000029216;25;BB;G;Genel Satis;2;300;600;225;150;450;Kart;Internet
1000029209;26;BB;B;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000029188;40;BB;B;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000029075;35;BB;D;Genel Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000029053;24;BB;D;Genel Satis;1;675;675;506.25;168.75;506.25;Kart;Organizatr
1000028808;60;BB;D;Genel Satis;1;150;150;112.5;37.5;112.5;Kart;Organizatr
1000027839;33;BB;D;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000027709;46;BB;D;Genel Satis;2;243.75;487.5;183.75;120;367.5;Kart;Organizatr
1000027556;33;BB;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000027553;29;BB;D;Genel Satis;1;562.5;562.5;421.875;140.625;421.875;Kart;Organizatr
1000027429;57;BB;D;Genel Satis;1;243.75;243.75;183.75;60;183.75;Kart;Organizatr
1000027384;33;BB;D;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000027188;26;CC;A;On Satis;2;937.5;1875;750;375;1500;Kart;Ana Gişe  
1000027187;29;CC;A;On Satis;2;937.5;1875;750;375;1500;Kart;Ana Gişe  
1000026975;29;CC;A;On Satis;2;937.5;1875;750;375;1500;Kart;Ana Gişe  
1000026784;34;CC;A;On Satis;2;937.5;1875;750;375;1500;Kart;Ana Gişe  
1000026730;42;CC;C;Genel Satis;2;337.5;675;270;135;540;Kart;Internet  
1000026129;27;CC;B;Genel Satis;2;1125;2250;900;450;1800;Kart;Perakende 
1000025992;71;CC;C;Genel Satis;2;337.5;675;270;135;540;Kart;Internet  
1000025944;32;CC;B;Genel Satis;2;1125;2250;900;450;1800;Kart;Perakende 
1000025686;19;CC;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000026380;33;CC;E;On Satis;2;112.5;225;90;45;180;Kart;Perakende
1000026370;47;CC;E;On Satis;2;45;90;45;0;90;Kart;Perakende
1000025844;37;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Perakende 
1000025819;48;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Perakende 
1000025457;31;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Perakende 
1000013666;86;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Perakende 
1000011075;74;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Perakende 
1000001728;22;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Perakende 
1000000556;25;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Perakende 
1000034487;24;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000034400;72;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000033057;18;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000033003;23;CC;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000032695;25;CC;A;On Satis;2;1312.5;2625;1050;525;2100;Kart;Çağrı Merk
1000032651;22;CC;F;On Satis;2;37.5;75;37.5;0;75;Kart;Çağrı Merk
1000030695;18;CC;A;Genel Satis;-2;-937.5;-1875;-750;-375;-1500;Kart;Çağrı Merk
1000030604;22;CC;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000030565;24;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000030540;20;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000030438;26;CC;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000030277;22;CC;F;On Satis;1;93.75;93.75;60;33.75;60;Kart;Çağrı Merk
1000030252;27;CC;A;On Satis;2;937.5;1875;750;375;1500;Kart;Çağrı Merk
1000030172;26;CC;F;On Satis;1;93.75;93.75;60;33.75;60;Kart;Çağrı Merk
1000030107;24;CC;F;On Satis;1;93.75;93.75;60;33.75;60;Kart;Çağrı Merk
1000029625;25;CC;F;On Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000029622;21;CC;F;On Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000029583;26;CC;F;On Satis;1;93.75;93.75;60;33.75;60;Kart;Çağrı Merk
1000029573;19;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000029546;23;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000029539;24;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000029495;22;CC;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000029418;27;CC;A;On Satis;2;1312.5;2625;1050;525;2100;Kart;Çağrı Merk
1000029414;22;CC;F;On Satis;2;37.5;75;37.5;0;75;Kart;Çağrı Merk
1000029238;22;CC;A;Genel Satis;-2;-937.5;-1875;-750;-375;-1500;Kart;Çağrı Merk
1000029071;73;CC;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000028038;26;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000027533;23;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Çağrı Merk
1000027509;20;CC;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Çağrı Merk
1000027392;25;CC;F;On Satis;1;93.75;93.75;60;33.75;60;Kart;Çağrı Merk
1000027385;22;CC;A;On Satis;2;937.5;1875;750;375;1500;Kart;Çağrı Merk
1000027226;19;CC;F;On Satis;1;93.75;93.75;60;33.75;60;Kart;Çağrı Merk
1000026845;9;CC;F;On Satis;1;93.75;93.75;60;33.75;60;Kart;Çağrı Merk
1000026788;24;CC;F;On Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000026547;25;CC;F;On Satis;2;93.75;187.5;60;67.5;120;Kart;Çağrı Merk
1000026318;22;CC;F;On Satis;1;93.75;93.75;60;33.75;60;Kart;Çağrı Merk
1000026154;17;CC;D;Genel Satis;2;675;1350;540;270;1080;Kart;Çağrı Merk
1000026090;19;CC;D;Genel Satis;2;1125;2250;900;450;1800;Kart;Çağrı Merk
1000026053;22;CC;D;Genel Satis;2;562.5;1125;450;225;900;Kart;Çağrı Merk
1000026012;19;CC;A;Genel Satis;2;937.5;1875;750;375;1500;Kart;Internet  
1000026005;23;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000025859;21;CC;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000005529;30;CC;C;Genel Satis;2;375;750;300;150;600;Kart;Internet  
1000029475;33;CC;A;Genel Satis;2;675;1350;540;270;1080;Kart;Internet  
1000029412;34;CC;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000028093;49;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000027941;30;CC;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000003751;30;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000003572;27;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000003553;26;CC;C;Genel Satis;1;337.5;337.5;270;67.5;270;Kart;Ana Gişe  
1000030481;48;CC;C;Genel Satis;1;337.5;337.5;270;67.5;270;Nakit;Ana Gişe  
1000030014;31;CC;A;Genel Satis;2;937.5;1875;750;375;1500;Kart;Internet  
1000027692;31;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000031387;60;CC;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000027654;76;CC;C;Genel Satis;2;375;750;300;150;600;Kart;Internet  
1000019924;55;CC;A;Genel Satis;2;675;1350;540;270;1080;Kart;Internet  
1000016361;51;CC;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000023693;57;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000022720;55;CC;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000000573;4;CC;F;On Satis;1;93.75;93.75;60;33.75;60;Kart;Internet  
1000034384;69;CC;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000032450;71;CC;C;Genel Satis;1;337.5;337.5;270;67.5;270;Kart;Ana Gişe  
1000032103;72;CC;C;Genel Satis;1;337.5;337.5;270;67.5;270;Nakit;Ana Gişe  
